partid,age,sex,rating,n_seeking,n_avoiding,s_aspects,m_aspects,m_risk,s_risk,p_control,p_social,p_situation,med_frequency,p_active,mean_sentiment,min_sentiment,max_sentiment,SMRD,aspect_ind,yearsofedu,job,income,n_aspects,remembered,similarity,duration
pk1i57og54,27,male,1,0,3,-3,-1,-45,-135,0.5,0,1,2,1,-1.3333333333333333,-2,0,-1,3,14,employed,2k_3k,3,0,68,332
pkovd8l667,34,female,3,2,1,1,0.3333333333333333,2.3333333333333335,7,0.3333333333333333,0,0,6,0,-1,-2,1,0,3,14,employed,4k_5k,3,9,33,520
pkpenn3v42,34,female,1,1,2,-1,-0.3333333333333333,-16.666666666666668,-50,0,0,0.3333333333333333,2,1,-2,-3,-1,1,3,16,selfemployed,0_1k,3,43,87,202
pkqk16c93v,29,female,1,0,3,-3,-1,-49.333333333333336,-148,0.3333333333333333,0,0.3333333333333333,1,0.3333333333333333,-0.6666666666666666,-2,0,-1,3,13,employed,1k_2k,3,6,73,334
pksurk0hbb,33,male,1,0,2,-2,-1,-50,-100,1,0,0,2,0,-0.5,-1,0,-1,2,13,employed,1k_2k,2,0,72,268
pktvbaqfgq,37,male,1,0,4,-4,-1,-46,-184,0.75,0.25,1,1.5,0.75,-0.6666666666666666,-2,1,-1,4,16,employed,2k_3k,4,41,70,374
pl1gu9l8m3,27,female,3,0,3,-3,-1,-35.666666666666664,-107,0,0,0,2,0,-1,-2,0,-1,3,14,employed,2k_3k,3,74,68,362
pl40upe2b5,26,female,6,3,0,3,1,15,45,NaN,0,0,5,1,-0.6666666666666666,-1,0,1,3,19,employed,3k_4k,3,6,76,237
pm4s2hpf4p,25,male,2,0,3,-3,-1,-49,-147,1,0,0,2,0.6666666666666666,-2.6666666666666665,-3,-2,-1,3,14,employed,0_1k,3,73,73,304
pmaoctfpvq,26,male,8,3,0,3,1,22.333333333333332,67,1,1,1,2,1,0.3333333333333333,-1,1,1,3,20,employed,2k_3k,3,61,42,543
